Name,Games Played,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,EFF,AST/TOV,STL/TOV,Age,Birth_Place,Birthdate,Collage,Experience,Height,Team,Weight,BMI,PTSPM,FGMPM,FGAPM,TPMPM,TPAPM,DREBPM,ASTPM,STLPM,BLKPM,OREBPM,Pos
Darius Morris,38,299,83,36,106,34,7,33,21.2,4,9,44.4,7,20,27,48,9,0,21,20,71,2.29,0.43,24,us,1/3/91,University of Michigan,3,190,NJN,85.5,23.68421053,0.278,0.12,0.355,0.023,0.11,0.067,0.161,0.03,0,0.023,PG
Darrell Arthur,58,988,382,155,384,40.4,26,110,23.6,46,59,78,53,118,171,57,48,26,47,146,395,1.21,1.02,27,us,3/25/88,University of Kansas,5,202.5,DEN,105.75,25.78875171,0.387,0.157,0.389,0.026,0.111,0.119,0.058,0.049,0.026,0.054,PF
Darren Collison,45,1565,725,260,550,47.3,60,161,37.3,145,184,78.8,19,124,143,252,67,14,112,95,760,2.25,0.6,28,us,8/23/87,"University of California, Los Angeles",5,180,SAC,78.75,24.30555556,0.463,0.166,0.351,0.038,0.103,0.079,0.161,0.043,0.009,0.012,PG
David Lee,49,904,388,160,313,51.1,0,2,0,68,104,65.4,81,176,257,85,31,26,49,83,549,1.74,0.63,32,us,4/29/83,University of Florida,9,202.5,GSW,110.25,26.8861454,0.429,0.177,0.346,0,0.002,0.195,0.094,0.034,0.029,0.09,PF
David Stockton,3,33,8,2,6,33.3,1,2,50,3,6,50,0,2,2,9,2,0,4,1,10,2.25,0.5,24,us,6/24/91,Gonzaga University,0,177.5,SAC,74.25,23.56675263,0.242,0.061,0.182,0.03,0.061,0.061,0.273,0.061,0,0,PG
David Wear,2,7,0,0,2,0,0,1,0,0,0,0,2,0,2,1,0,0,0,1,1,0,0,,,,,,,,,,0,0,0.286,0,0.143,0,0.143,0,0,0.286,
David West,66,1895,769,323,686,47.1,4,20,20,119,161,73.9,108,341,449,223,48,48,120,160,1012,1.86,0.4,35,us,8/29/80,Xavier University,11,202.5,IND,112.5,27.43484225,0.406,0.17,0.362,0.002,0.011,0.18,0.118,0.025,0.025,0.057,PF
DeAndre Jordan,82,2820,946,379,534,71,1,4,25,187,471,39.7,397,829,1226,61,81,183,109,245,1949,0.56,0.74,27,us,7/21/88,Texas A&M University,6,207.5,LAC,119.25,27.69632748,0.335,0.134,0.189,0,0.001,0.294,0.022,0.029,0.065,0.141,C
DeJuan Blair,29,180,56,26,57,45.6,0,0,0,4,6,66.7,16,40,56,3,7,1,13,41,77,0.23,0.54,26,us,4/22/89,University of Pittsburgh,5,197.5,WAS,121.5,31.14885435,0.311,0.144,0.317,0,0,0.222,0.017,0.039,0.006,0.089,PF
DeMar DeRozan,60,2100,1204,409,990,41.3,25,88,28.4,361,434,83.2,41,236,277,210,73,11,137,122,984,1.53,0.53,26,us,8/7/89,University of Southern California,5,197.5,TOR,99.45,25.49591412,0.573,0.195,0.471,0.012,0.042,0.112,0.1,0.035,0.005,0.02,SG
DeMarcus Cousins,59,2013,1421,498,1066,46.7,2,8,25,423,541,78.2,185,562,747,210,90,103,254,241,1631,0.83,0.35,25,us,8/13/90,University of Kentucky,4,207.5,SAC,121.5,28.2188997,0.706,0.247,0.53,0.001,0.004,0.279,0.104,0.045,0.051,0.092,C
DeMarre Carroll,70,2189,883,318,653,48.7,120,304,39.5,127,181,70.2,99,273,372,118,94,17,75,154,1020,1.57,1.25,29,us,7/27/86,University of Missouri,5,200,ATL,96.75,24.1875,0.403,0.145,0.298,0.055,0.139,0.125,0.054,0.043,0.008,0.045,SF
Dennis Schroder,77,1516,768,284,665,42.7,52,148,35.1,148,179,82.7,29,135,164,317,49,4,150,127,740,2.11,0.33,22,de,9/15/93,,1,182.5,ATL,77.4,23.23888159,0.507,0.187,0.439,0.034,0.098,0.089,0.209,0.032,0.003,0.019,PG
Deron Williams,68,2114,884,298,771,38.7,87,237,36.7,201,241,83.4,29,208,237,448,64,17,154,157,983,2.91,0.42,,,,,,,,,,0.418,0.141,0.365,0.041,0.112,0.098,0.212,0.03,0.008,0.014,
Derrick Favors,74,2280,1187,482,918,52.5,1,6,16.7,222,332,66.9,196,411,607,112,60,123,121,210,1422,0.93,0.5,24,us,7/15/91,Georgia Institute of Technology,4,205,UTA,119.25,28.37596669,0.521,0.211,0.403,0,0.003,0.18,0.049,0.026,0.054,0.086,PF
Derrick Rose,51,1530,904,338,835,40.5,76,271,28,152,187,81.3,35,126,161,251,36,16,161,63,675,1.56,0.22,27,us,10/4/88,University of Memphis,5,187.5,CHI,85.5,24.32,0.591,0.221,0.546,0.05,0.177,0.082,0.164,0.024,0.01,0.023,PG
Derrick Williams,74,1462,617,217,485,44.7,49,156,31.4,134,196,68.4,41,161,202,50,34,4,56,67,521,0.89,0.61,,,,,,,,,,0.422,0.148,0.332,0.034,0.107,0.11,0.034,0.023,0.003,0.028,
Devin Harris,76,1685,665,219,524,41.8,95,266,35.7,132,162,81.5,13,122,135,237,78,14,85,147,709,2.79,0.92,32,us,2/27/83,University of Wisconsin,10,187.5,DAL,86.4,24.576,0.395,0.13,0.311,0.056,0.158,0.072,0.141,0.046,0.008,0.008,PG
Devyn Marble,16,208,37,14,44,31.8,4,22,18.2,5,16,31.3,5,26,31,17,9,2,9,14,46,1.89,1,23,us,9/21/92,University of Iowa,0,195,ORL,90,23.66863905,0.178,0.067,0.212,0.019,0.106,0.125,0.082,0.043,0.01,0.024,SG
Dewayne Dedmon,59,845,216,91,162,56.2,0,1,0,34,64,53.1,118,177,295,9,16,50,51,141,434,0.18,0.31,26,us,8/12/89,University of Southern California,1,210,ORL,110.25,25,0.256,0.108,0.192,0,0.001,0.209,0.011,0.019,0.059,0.14,C
Dion Waiters,80,2208,940,375,946,39.6,73,246,29.7,117,172,68,41,151,192,163,90,21,113,155,667,1.44,0.8,,,,,,,,,,0.426,0.17,0.428,0.033,0.111,0.068,0.074,0.041,0.01,0.019,
Dirk Nowitzki,77,2282,1333,487,1062,45.9,104,274,38,255,289,88.2,44,413,457,143,39,33,82,160,1314,1.74,0.48,37,de,6/19/78,,16,210,DAL,110.25,25,0.584,0.213,0.465,0.046,0.12,0.181,0.063,0.017,0.014,0.019,PF
Donald Sloan,53,1107,391,145,355,40.8,41,131,31.3,60,77,77.9,12,131,143,190,23,0,65,47,455,2.92,0.35,27,us,1/15/88,Texas A&M University,3,187.5,IND,92.25,26.24,0.353,0.131,0.321,0.037,0.118,0.118,0.172,0.021,0,0.011,PG
Donatas Motiejunas,71,2037,855,353,700,50.4,49,133,36.8,100,166,60.2,137,284,421,130,56,34,123,203,960,1.06,0.46,25,lt,9/20/90,,2,210,HOU,99.9,22.65306122,0.42,0.173,0.344,0.024,0.065,0.139,0.064,0.027,0.017,0.067,PF
Dorell Wright,48,593,219,72,190,37.9,41,108,38,34,42,81,14,97,111,41,20,11,18,55,258,2.28,1.11,,,,,,,,,,0.369,0.121,0.32,0.069,0.182,0.164,0.069,0.034,0.019,0.024,
Doug McDermott,36,321,109,43,107,40.2,13,41,31.7,10,15,66.7,6,37,43,6,4,1,17,29,77,0.35,0.24,23,us,1/3/92,Creighton University,0,200,CHI,101.25,25.3125,0.34,0.134,0.333,0.04,0.128,0.115,0.019,0.012,0.003,0.019,SF
Draymond Green,79,2490,921,339,765,44.3,111,329,33.7,132,200,66,114,533,647,291,123,99,133,253,1454,2.19,0.93,25,us,3/4/90,Michigan State University,2,197.5,GSW,103.5,26.53420926,0.37,0.136,0.307,0.045,0.132,0.214,0.117,0.049,0.04,0.046,PF
Drew Gooden,51,864,277,110,276,39.9,23,59,39,34,44,77.3,72,151,223,49,21,9,28,91,375,1.75,0.75,34,us,9/24/81,University of Kansas,12,205,WAS,112.5,26.76977989,0.321,0.127,0.319,0.027,0.068,0.175,0.057,0.024,0.01,0.083,PF
Drew Gordon,9,71,17,8,19,42.1,0,3,0,1,2,50,7,11,18,2,1,0,8,7,18,0.25,0.13,25,us,7/12/90,University of New Mexico,0,202.5,PHI,110.25,26.8861454,0.239,0.113,0.268,0,0.042,0.155,0.028,0.014,0,0.099,PF
Dwight Buycks,6,123,52,18,40,45,7,11,63.6,9,10,90,2,10,12,14,3,0,12,3,46,1.17,0.25,26,us,3/6/89,Marquette University,1,187.5,LAL,85.5,24.32,0.423,0.146,0.325,0.057,0.089,0.081,0.114,0.024,0,0.016,PG
Dwight Howard,41,1223,646,251,423,59.3,1,2,50,143,271,52.8,110,321,431,50,28,53,115,137,793,0.44,0.24,30,us,12/8/85,,10,207.5,HOU,119.25,27.69632748,0.528,0.205,0.346,0.001,0.002,0.262,0.041,0.023,0.043,0.09,C
Dwight Powell,29,236,90,31,67,46.3,3,11,27.3,25,33,75.8,18,32,50,9,9,6,11,40,109,0.82,0.82,24,ca,7/20/91,Stanford University,0,207.5,DAL,108,25.0834664,0.381,0.131,0.284,0.013,0.047,0.136,0.038,0.038,0.025,0.076,PF
Dwyane Wade,62,1971,1331,509,1084,47,29,102,28.4,284,370,76.8,58,161,219,299,73,21,209,105,1073,1.43,0.35,,,,,,,,,,0.675,0.258,0.55,0.015,0.052,0.082,0.152,0.037,0.011,0.029,
Earl Barron,16,143,32,12,39,30.8,2,4,50,6,12,50,14,14,28,5,4,2,5,26,33,1,0.8,34,us,8/14/81,University of Memphis,7,210,PHO,112.5,25.51020408,0.224,0.084,0.273,0.014,0.028,0.098,0.035,0.028,0.014,0.098,C
Earl Clark,10,93,27,11,30,36.7,4,14,28.6,1,4,25,1,22,23,3,3,4,6,12,32,0.5,0.5,27,us,1/17/88,University of Louisville,5,205,NJN,101.25,24.0928019,0.29,0.118,0.323,0.043,0.151,0.237,0.032,0.032,0.043,0.011,PF
Ed Davis,79,1840,656,282,469,60.1,0,0,0,92,189,48.7,230,370,600,94,49,98,58,202,1155,1.62,0.85,26,us,6/5/89,University of North Carolina,4,205,LAL,108,25.6989887,0.357,0.153,0.255,0,0,0.201,0.051,0.027,0.053,0.125,PF
Ekpe Udoh,33,128,29,11,24,45.8,0,0,0,7,9,77.8,7,19,26,8,8,7,7,20,56,1.14,1.14,,,,,,,,,,0.227,0.086,0.188,0,0,0.148,0.063,0.063,0.055,0.055,
Elfrid Payton,82,2489,731,301,708,42.5,11,42,26.2,118,214,55.1,107,242,349,533,142,20,203,193,1069,2.63,0.7,21,us,2/22/94,University of Louisiana at Lafayette,0,190,ORL,83.25,23.06094183,0.294,0.121,0.284,0.004,0.017,0.097,0.214,0.057,0.008,0.043,PG
Elijah Millsap,47,924,248,81,238,34,28,90,31.1,58,86,67.4,28,122,150,58,56,16,67,124,276,0.87,0.84,,,,,,,,,,0.268,0.088,0.258,0.03,0.097,0.132,0.063,0.061,0.017,0.03,
Elliot Williams,13,119,37,14,37,37.8,8,18,44.4,1,4,25,0,8,8,12,4,0,4,12,31,3,1,,,,,,,,,,0.311,0.118,0.311,0.067,0.151,0.067,0.101,0.034,0,0,
Elton Brand,36,486,96,42,95,44.2,0,1,0,12,23,52.2,28,72,100,22,17,25,18,54,178,1.22,0.94,36,us,3/11/79,Duke University,15,200,ATL,123.75,30.9375,0.198,0.086,0.195,0,0.002,0.148,0.045,0.035,0.051,0.058,C
Enes Kanter,75,2136,1163,482,928,51.9,16,45,35.6,183,234,78.2,277,394,671,55,36,29,145,189,1312,0.38,0.25,23,ch,5/20/92,,3,207.5,OKC,110.25,25.60603861,0.544,0.226,0.434,0.007,0.021,0.184,0.026,0.017,0.014,0.13,C
Eric Bledsoe,81,2800,1377,468,1046,44.7,88,272,32.4,353,441,80,72,351,423,493,127,45,274,189,1525,1.8,0.46,26,us,12/9/89,University of Kentucky,4,182.5,PHO,85.5,25.67085757,0.492,0.167,0.374,0.031,0.097,0.125,0.176,0.045,0.016,0.026,PG
Eric Gordon,61,2018,818,285,694,41.1,141,315,44.8,107,133,80.5,28,131,159,229,50,14,122,145,713,1.88,0.41,27,us,12/25/88,Indiana University,6,190,NOH,96.75,26.80055402,0.405,0.141,0.344,0.07,0.156,0.065,0.113,0.025,0.007,0.014,SG
Erick Green,43,410,146,61,162,37.7,14,47,29.8,10,12,83.3,7,24,31,39,12,0,14,26,111,2.79,0.86,24,us,5/9/91,Virginia Polytechnic Institute and State University,0,190,DEN,83.25,23.06094183,0.356,0.149,0.395,0.034,0.115,0.059,0.095,0.029,0,0.017,PG
Ersan Ilyasova,58,1319,669,263,557,47.2,74,190,38.9,69,107,64.5,80,197,277,56,36,19,45,149,680,1.24,0.8,28,tr,5/15/87,,6,205,MIL,105.75,25.1635931,0.507,0.199,0.422,0.056,0.144,0.149,0.042,0.027,0.014,0.061,PF
E'Twaun Moore,56,504,149,62,139,44.6,13,38,34.2,12,20,60,12,34,46,33,20,6,14,45,155,2.36,1.43,26,us,2/28/89,Purdue University,3,190,CHI,85.95,23.80886427,0.296,0.123,0.276,0.026,0.075,0.067,0.065,0.04,0.012,0.024,SG
Evan Fournier,58,1661,698,253,575,44,85,225,37.8,107,147,72.8,28,125,153,120,40,2,82,116,569,1.46,0.49,23,fr,10/29/92,,2,197.5,ORL,92.25,23.65005608,0.42,0.152,0.346,0.051,0.135,0.075,0.072,0.024,0.001,0.017,SG
Evan Turner,82,2260,779,320,746,42.9,33,119,27.7,106,141,75.2,40,377,417,449,83,19,198,180,1088,2.27,0.42,26,ng,10/21/89,Vanderbilt University,1,207.5,GSW,114.75,26.65118305,0.345,0.142,0.33,0.015,0.053,0.167,0.199,0.037,0.008,0.018,C
Festus Ezeli,46,504,201,76,139,54.7,0,0,0,49,78,62.8,60,95,155,9,7,42,32,77,290,0.28,0.22,,,,,,,,,,0.399,0.151,0.276,0,0,0.188,0.018,0.014,0.083,0.119,
Francisco Garcia,14,200,45,17,63,27,10,45,22.2,1,4,25,3,14,17,15,9,5,10,20,32,1.5,0.9,34,do,12/31/81,University of Louisville,9,197.5,HOU,87.75,22.49639481,0.225,0.085,0.315,0.05,0.225,0.07,0.075,0.045,0.025,0.015,SF
Furkan Aldemir,41,540,93,40,78,51.3,0,5,0,13,27,48.1,78,98,176,28,17,16,17,96,261,1.65,1,24,tr,8/9/91,,0,205,PHI,108,25.6989887,0.172,0.074,0.144,0,0.009,0.181,0.052,0.031,0.03,0.144,PF
Gal Mekel,4,43,6,3,20,15,0,3,0,0,0,0,0,1,1,13,2,0,2,1,3,6.5,1,27,il,3/4/88,Wichita State University,1,187.5,NOH,85.95,24.448,0.14,0.07,0.465,0,0.07,0.023,0.302,0.047,0,0,PG
Garrett Temple,52,736,204,68,170,40,33,88,37.5,35,48,72.9,24,66,90,56,42,9,34,76,252,1.65,1.24,29,us,5/8/86,Louisiana State University,4,195,WAS,87.75,23.07692308,0.277,0.092,0.231,0.045,0.12,0.09,0.076,0.057,0.012,0.033,SG
Gary Harris,55,719,188,66,217,30.4,21,103,20.4,35,47,74.5,21,43,64,29,39,7,38,71,126,0.76,1.03,21,us,9/14/94,Michigan State University,0,190,DEN,94.5,26.17728532,0.261,0.092,0.302,0.029,0.143,0.06,0.04,0.054,0.01,0.029,SG
Gary Neal,54,1192,543,188,503,37.4,50,164,30.5,117,135,86.7,14,115,129,100,23,1,65,88,398,1.54,0.35,31,us,10/3/84,Towson University,4,190,MIN,94.5,26.17728532,0.456,0.158,0.422,0.042,0.138,0.096,0.084,0.019,0.001,0.012,SG
George Hill,43,1267,692,255,535,47.7,69,193,35.8,113,143,79,25,154,179,220,44,14,69,111,770,3.19,0.64,29,us,5/4/86,Indiana University-Purdue University Indianapolis,6,187.5,IND,84.6,24.064,0.546,0.201,0.422,0.054,0.152,0.122,0.174,0.035,0.011,0.02,PG
Gerald Green,74,1446,884,324,778,41.6,137,387,35.4,99,120,82.5,33,153,186,91,42,12,104,145,636,0.88,0.4,29,us,1/26/86,,7,197.5,PHO,92.25,23.65005608,0.611,0.224,0.538,0.095,0.268,0.106,0.063,0.029,0.008,0.023,SG
Gerald Henderson,80,2315,969,370,847,43.7,45,136,33.1,184,217,84.8,36,237,273,206,51,22,110,135,901,1.87,0.46,28,us,12/9/87,Duke University,5,192.5,CHA,96.75,26.10895598,0.419,0.16,0.366,0.019,0.059,0.102,0.089,0.022,0.01,0.016,SG
Gerald Wallace,32,286,35,14,34,41.2,1,3,33.3,6,15,40,17,40,57,11,15,4,18,19,75,0.61,0.83,,,,,,,,,,0.122,0.049,0.119,0.003,0.01,0.14,0.038,0.052,0.014,0.059,
Giannis Antetokounmpo,81,2541,1030,383,780,49.1,7,44,15.9,257,347,74.1,100,442,542,207,73,85,173,254,1277,1.2,0.42,21,gr,12/6/94,,1,207.5,MIL,99.9,23.20220642,0.405,0.151,0.307,0.003,0.017,0.174,0.081,0.029,0.033,0.039,SG
Gigi Datome,21,209,105,43,89,48.3,18,40,45,1,1,100,3,26,29,9,2,7,9,15,97,1,0.22,,,,,,,,,,0.502,0.206,0.426,0.086,0.191,0.124,0.043,0.01,0.033,0.014,
Glen Davis,74,904,294,117,255,45.9,0,4,0,60,95,63.2,43,126,169,39,41,21,39,132,352,1,1.05,29,us,1/1/86,Louisiana State University,7,202.5,LAC,130.05,31.71467764,0.325,0.129,0.282,0,0.004,0.139,0.043,0.045,0.023,0.048,PF
Glen Rice,5,43,11,3,15,20,1,7,14.3,4,6,66.7,2,2,4,2,0,0,2,11,1,1,0,24,us,1/1/91,Georgia Institute of Technology,1,195,WAS,92.7,24.37869822,0.256,0.07,0.349,0.023,0.163,0.047,0.047,0,0,0.047,SG
Glenn Robinson III,35,261,73,26,67,38.8,5,19,26.3,16,24,66.7,15,24,39,11,6,1,11,15,70,1,0.55,,,,,,,,,,0.28,0.1,0.257,0.019,0.073,0.092,0.042,0.023,0.004,0.057,
Goran Dragic,78,2640,1275,502,1002,50.1,90,259,34.7,181,234,77.4,81,193,274,350,78,15,173,195,1266,2.02,0.45,29,si,5/6/86,,6,187.5,PHO,85.5,24.32,0.483,0.19,0.38,0.034,0.098,0.073,0.133,0.03,0.006,0.031,SG
Gordon Hayward,76,2618,1463,484,1087,44.5,120,330,36.4,375,462,81.2,54,319,373,313,108,30,206,131,1391,1.52,0.52,25,us,3/23/90,Butler University,4,200,UTA,101.7,25.425,0.559,0.185,0.415,0.046,0.126,0.122,0.12,0.041,0.011,0.021,SF
Gorgui Dieng,73,2193,710,259,512,50.6,1,6,16.7,191,244,78.3,223,386,609,146,71,126,126,188,1230,1.16,0.56,25,sn,1/18/90,University of Louisville,1,207.5,MIN,108.45,25.18798084,0.324,0.118,0.233,0,0.003,0.176,0.067,0.032,0.057,0.102,C
Grant Jerrett,8,51,16,7,26,26.9,1,15,6.7,1,1,100,2,7,9,3,2,2,3,11,10,1,0.67,22,us,7/8/93,University of Arizona,0,205,UTA,105.75,25.1635931,0.314,0.137,0.51,0.02,0.294,0.137,0.059,0.039,0.039,0.039,PF
Greg Monroe,69,2137,1098,423,853,49.6,0,0,0,252,336,75,229,475,704,142,78,34,149,148,1393,0.95,0.52,25,us,6/4/90,Georgetown University,4,207.5,DET,119.25,27.69632748,0.514,0.198,0.399,0,0,0.222,0.066,0.036,0.016,0.107,PF
Greg Smith,42,363,80,30,49,61.2,0,0,0,20,39,51.3,26,53,79,9,7,11,11,53,137,0.82,0.64,24,us,1/8/91,"California State University, Fresno",3,205,DAL,112.5,26.76977989,0.22,0.083,0.135,0,0,0.146,0.025,0.019,0.03,0.072,PF
Greg Stiemsma,17,66,14,6,8,75,0,0,0,2,4,50,9,6,15,3,2,0,7,15,23,0.43,0.29,30,us,9/26/85,University of Wisconsin,3,207.5,TOR,117,27.17375526,0.212,0.091,0.121,0,0,0.091,0.045,0.03,0,0.136,C
Greivis Vasquez,82,1991,775,296,725,40.8,133,351,37.9,50,66,75.8,22,194,216,302,46,10,119,177,785,2.54,0.39,28,ve,1/16/87,University of Maryland,4,195,TOR,97.65,25.68047337,0.389,0.149,0.364,0.067,0.176,0.097,0.152,0.023,0.005,0.011,PG
Harrison Barnes,82,2318,827,316,656,48.2,87,215,40.5,108,150,72,117,336,453,116,61,19,71,146,1023,1.63,0.86,23,us,5/30/92,University of North Carolina,2,200,GSW,94.5,23.625,0.357,0.136,0.283,0.038,0.093,0.145,0.05,0.026,0.008,0.05,SF
Hassan Whiteside,48,1142,564,243,387,62.8,0,0,0,78,156,50,145,337,482,6,27,123,58,129,922,0.1,0.47,,,,,,,,,,0.494,0.213,0.339,0,0,0.295,0.005,0.024,0.108,0.127,
Hedo Turkoglu,62,705,232,83,188,44.1,60,139,43.2,6,11,54.5,5,94,99,37,19,7,29,66,255,1.28,0.66,,,,,,,,,,0.329,0.118,0.267,0.085,0.197,0.133,0.052,0.027,0.01,0.007,
Henry Sims,73,1399,586,238,502,47.4,4,22,18.2,106,137,77.4,121,238,359,79,39,30,99,135,699,0.8,0.39,,,,,,,,,,0.419,0.17,0.359,0.003,0.016,0.17,0.056,0.028,0.021,0.086,
Henry Walker,24,628,175,58,168,34.5,45,132,34.1,14,18,77.8,7,75,82,29,24,9,24,76,181,1.21,1,,,,,,,,,,0.279,0.092,0.268,0.072,0.21,0.119,0.046,0.038,0.014,0.011,
Hollis Thompson,71,1776,626,224,543,41.3,115,287,40.1,63,89,70.8,53,145,198,85,57,26,66,141,581,1.29,0.86,,,,,,,,,,0.352,0.126,0.306,0.065,0.162,0.082,0.048,0.032,0.015,0.03,
Ian Clark,30,192,57,19,55,34.5,10,30,33.3,9,9,100,4,12,16,12,9,3,9,20,52,1.33,1,24,us,3/7/91,Belmont University,1,187.5,UTA,78.75,22.4,0.297,0.099,0.286,0.052,0.156,0.063,0.063,0.047,0.016,0.021,SG
Ian Mahinmi,61,1146,265,117,212,55.2,0,0,0,31,102,30.4,105,251,356,33,30,46,59,172,505,0.56,0.51,29,fr,11/5/86,,6,207.5,IND,112.5,26.12861083,0.231,0.102,0.185,0,0,0.219,0.029,0.026,0.04,0.092,C
Iman Shumpert,62,1545,496,193,471,41,67,196,34.2,43,64,67.2,55,169,224,135,81,16,91,138,562,1.48,0.89,25,us,6/26/90,Georgia Institute of Technology,3,192.5,NYK,99,26.716141,0.321,0.125,0.305,0.043,0.127,0.109,0.087,0.052,0.01,0.036,SG
Isaiah Canaan,47,938,432,146,378,38.6,91,246,37,49,60,81.7,18,69,87,98,29,3,62,83,344,1.58,0.47,24,us,5/21/91,Murray State University,1,180,PHI,90.45,27.91666667,0.461,0.156,0.403,0.097,0.262,0.074,0.104,0.031,0.003,0.019,PG
Isaiah Thomas,67,1726,1101,335,796,42.1,129,346,37.3,302,348,86.8,33,120,153,284,57,5,143,150,950,1.99,0.4,26,us,2/7/89,University of Washington,3,172.5,BOS,83.25,27.97731569,0.638,0.194,0.461,0.075,0.2,0.07,0.165,0.033,0.003,0.019,PG
Ish Smith,55,831,338,143,367,39,18,60,30,34,57,59.6,15,85,100,180,36,6,78,50,335,2.31,0.46,,,,,,,,,,0.407,0.172,0.442,0.022,0.072,0.102,0.217,0.043,0.007,0.018,
J.J. Barea,77,1362,580,225,536,42,54,167,32.3,76,94,80.9,23,111,134,263,33,1,70,104,612,3.76,0.47,31,pr,6/26/84,Northeastern University,8,180,DAL,83.25,25.69444444,0.426,0.165,0.394,0.04,0.123,0.081,0.193,0.024,0.001,0.017,PG
Jabari Brown,19,568,227,70,170,41.2,23,62,37.1,64,85,75.3,3,33,36,40,12,2,32,33,164,1.25,0.38,23,us,12/18/92,University of Missouri,0,190,LAL,96.75,26.80055402,0.4,0.123,0.299,0.04,0.109,0.058,0.07,0.021,0.004,0.005,SG
Jabari Parker,25,738,308,129,263,49,4,16,25,46,66,69.7,50,88,138,42,31,5,47,42,323,0.89,0.66,,,,,,,,,,0.417,0.175,0.356,0.005,0.022,0.119,0.057,0.042,0.007,0.068,
Jack Cooley,16,87,27,9,22,40.9,0,0,0,9,21,42.9,10,15,25,1,6,3,3,23,34,0.33,2,24,us,4/4/91,University of Notre Dame,0,202.5,UTA,117,28.53223594,0.31,0.103,0.253,0,0,0.172,0.011,0.069,0.034,0.115,PF
Jae Crowder,82,1647,628,229,545,42,61,208,29.3,109,141,77.3,72,221,293,94,72,25,49,137,715,1.92,1.47,25,us,7/6/90,Marquette University,2,195,DAL,105.75,27.81065089,0.381,0.139,0.331,0.037,0.126,0.134,0.057,0.044,0.015,0.044,SF
JaKarr Sampson,74,1131,386,146,346,42.2,31,127,24.4,63,94,67,35,128,163,77,38,26,76,135,383,1.01,0.5,,,,,,,,,,0.341,0.129,0.306,0.027,0.112,0.113,0.068,0.034,0.023,0.031,
Jamaal Franklin,3,13,3,1,2,50,1,2,50,0,0,0,1,1,2,3,0,1,3,4,5,1,0,24,us,7/21/91,San Diego State University,1,192.5,DEN,85.95,23.19446787,0.231,0.077,0.154,0.077,0.154,0.077,0.231,0,0.077,0.077,SG
Jamal Crawford,64,1703,1010,332,839,39.6,119,364,32.7,227,252,90.1,18,106,124,158,59,14,92,108,741,1.72,0.64,35,us,3/20/80,University of Michigan,14,192.5,LAC,90,24.28740091,0.593,0.195,0.493,0.07,0.214,0.062,0.093,0.035,0.008,0.011,SG
Jameer Nelson,63,1406,523,205,504,40.7,89,258,34.5,24,36,66.7,33,113,146,253,47,6,109,136,555,2.32,0.43,33,us,2/9/82,Saint Joseph's University,10,180,DAL,85.5,26.38888889,0.372,0.146,0.358,0.063,0.183,0.08,0.18,0.033,0.004,0.023,PG
James Ennis III,62,1051,312,101,247,40.9,31,95,32.6,79,94,84,51,125,176,48,25,17,39,89,378,1.23,0.64,25,us,7/1/90,"California State University, Long Beach",0,197.5,MIA,94.5,24.22688672,0.297,0.096,0.235,0.029,0.09,0.119,0.046,0.024,0.016,0.049,SF
James Harden,81,2981,2217,647,1470,44,208,555,37.5,715,824,86.8,75,384,459,565,154,60,321,208,2202,1.76,0.48,26,us,8/26/89,Arizona State University,5,192.5,HOU,99,26.716141,0.744,0.217,0.493,0.07,0.186,0.129,0.19,0.052,0.02,0.025,SG
James Johnson,70,1370,554,238,404,58.9,11,51,21.6,67,102,65.7,61,196,257,95,54,70,79,155,750,1.2,0.68,28,us,2/20/87,Wake Forest University,5,202.5,TOR,112.5,27.43484225,0.404,0.174,0.295,0.008,0.037,0.143,0.069,0.039,0.051,0.045,PF
James Jones,57,669,250,74,201,36.8,63,175,36,39,46,84.8,9,53,62,24,13,8,13,67,210,1.85,1,35,us,10/4/80,University of Miami,11,200,CLE,98.1,24.525,0.374,0.111,0.3,0.094,0.262,0.079,0.036,0.019,0.012,0.013,SF
James Michael McAdoo,15,137,62,24,44,54.5,0,0,0,14,25,56,15,22,37,2,5,9,6,21,78,0.33,0.83,22,us,1/4/93,University of North Carolina,0,202.5,GSW,103.5,25.24005487,0.453,0.175,0.321,0,0,0.161,0.015,0.036,0.066,0.109,PF
James Young,31,332,105,36,102,35.3,17,66,25.8,16,29,55.2,9,33,42,13,8,2,5,22,86,2.6,1.6,,,,,,,,,,0.316,0.108,0.307,0.051,0.199,0.099,0.039,0.024,0.006,0.027,
JaMychal Green,24,164,62,27,47,57.4,0,6,0,8,10,80,19,26,45,4,5,5,14,25,85,0.29,0.36,25,us,6/21/90,University of Alabama,0,202.5,SAS,102.15,24.91083676,0.378,0.165,0.287,0,0.037,0.159,0.024,0.03,0.03,0.116,PF
Jannero Pargo,9,73,41,15,35,42.9,9,22,40.9,2,2,100,0,3,3,8,0,0,3,8,29,2.67,0,36,us,10/22/79,University of Arkansas,10,182.5,CHA,78.75,23.64421092,0.562,0.205,0.479,0.123,0.301,0.041,0.11,0,0,0,PG
